patience,empathy,escalation_prone,burnout,resilience,volatility,qa,fcr,aht,escalation,repeat_rate,compliance,productivity,strain_score,rep_id,condition,training
0.5261963728734148,0.3864726254559715,0.5088005518143967,0.45885094729742215,0.9424348370582124,0.5396119554337719,0.6449613679380444,0.6667864124675377,536.4356896275851,0.08356502396312822,0.24214580341981123,0.4004654080889335,0.6248224108576641,0.33612054815104825,REP-0001,baseline,9.37
0.5164158088669063,0.5992164213237943,0.44974540015869563,0.34902032616322143,0.9315594078762606,0.5080298230297644,0.6967170178099306,0.7588410973928924,501.95691699673193,0.1246311304296695,0.205900443468397,0.27429365928682986,0.6350461539016115,0.45180118226934035,REP-0002,baseline,7.15
0.42422982012019056,0.40123524754073714,0.6174631341861093,0.3712535804981061,0.8311250729351278,0.43826777955364865,0.5882742871803868,0.6613354727249802,490.9248332920327,0.1272247628868166,0.21796997516564212,0.3567629125682347,0.6396163207557953,0.38965742172769163,REP-0003,baseline,9.23
0.5723561666044058,0.6048054046547175,0.5550687982629239,0.3468645670782331,0.912435098741852,0.546726818051762,0.5862211497002688,0.6749339703330305,524.3613143436975,0.12056980118459275,0.26194065158047647,0.3196890295273641,0.5740756782799371,0.47252349588192094,REP-0004,baseline,6.66
0.31134826875296484,0.42149847986187494,0.4613047119870151,0.32379378286186267,0.8834947825223332,0.4058322781215191,0.6604178622577854,0.5784892739838475,524.2067663363132,0.09928935548686872,0.2918654954623882,0.3688583572805015,0.6327166572811537,0.4041014265580056,REP-0005,baseline,8.71
0.4839246533540807,0.494007295346829,0.4500768941380008,0.25510082206138873,0.9415798198769757,0.4050268669524745,0.7349701733222151,0.6781591115336342,518.9050053492874,0.01647150966319314,0.26140918626122456,0.2596692245446199,0.6632147220880589,0.3707688336636656,REP-0006,baseline,7.67
0.4386947769078156,0.5124294186847209,0.5562193744455951,0.16157009705537184,0.9041930355368751,0.3591230419176271,0.70816050102253,0.7189251938036605,532.8575230891933,0.06300671146271958,0.19160806930838992,0.2013433297398751,0.6750533076709667,0.3947044565525469,REP-0007,baseline,5.26
0.6853971927437977,0.3760745400415004,0.42320811708249234,0.3589347034071802,0.9576144503204386,0.48945724266411517,0.770901279120625,0.6624451236181711,540.8918419075477,0.02643193228201588,0.28463539245183334,0.3132239952249108,0.7165288387424704,0.4109029526907576,REP-0008,baseline,6.29
0.5653604503747318,0.2903425536393246,0.5394472745727414,0.12799017275889557,1.0,0.43151019999475254,0.7048667730798743,0.6660930033501617,496.9973112171493,0.01,0.32161651971546623,0.26332117531304006,0.6731968354473712,0.44921828494052785,REP-0009,baseline,7.96
0.500016134177156,0.4490169065952212,0.5014944622658468,0.2530926393248959,0.9054960541426799,0.2278563285276362,0.6571523469123779,0.6957418300783087,532.0716017513719,0.07096034378831456,0.222795307483295,0.2316311291007884,0.6941148711544084,0.40643312624586775,REP-0010,baseline,3.39
0.5497136873546273,0.4698646919321384,0.6665897384281476,0.26464279614572317,0.9996967705339386,0.39567355407206545,0.6810354865315722,0.7039758049853924,558.7824420202039,0.10899093395460156,0.24248737498824663,0.30265157464429565,0.6258067888758996,0.4108282692352764,REP-0011,baseline,6.04
0.47693903983245456,0.43840576519071106,0.5757577948399202,0.31861849573348766,0.9151696339420446,0.32928142483497086,0.5866378209652727,0.5966503806512531,536.7210154740199,0.10640812369480185,0.3359886049293972,0.3936909694995563,0.5701469003709109,0.4106858468702629,REP-0012,baseline,5.57
0.43895597337828945,0.5283232352490661,0.6730299913973603,0.45858438206321267,0.761202399805736,0.5104140074685095,0.6516351361929693,0.6039216994818813,575.667639537996,0.06321277029624556,0.3467733867576075,0.3264708882423527,0.6098936343847191,0.35571590558698674,REP-0013,baseline,6.02
0.505231001746738,0.34996276424360817,0.3943102294170033,0.39597841153492574,0.8781967384708035,0.4134273913891414,0.7025409245546319,0.7409132606427479,518.296539741692,0.10354154029691623,0.28361262014959476,0.3243851805095153,0.6616054633335162,0.33572828849282454,REP-0014,baseline,8.6
0.6173380058565228,0.45256316344543435,0.4140532199833367,0.40372037598384913,0.8936128373947873,0.5675012050830802,0.6585654382195684,0.7208050748571135,526.0626900482239,0.01,0.26536824521489394,0.31265435515187856,0.6858302676904003,0.3298990982777065,REP-0015,baseline,5.48
